Date,LTT,,,
2023-11-23T09:39:00.000Z,"43,579.25",,,
2023-11-23T09:40:00.000Z,"43,566.70",,,
2023-11-23T09:41:00.000Z,"43,577.95",,,
2023-11-23T09:42:00.000Z,"43,579.40",,,
2023-11-23T09:43:00.000Z,"43,584.20",,,
2023-11-23T09:44:00.000Z,"43,579.00",,,
2023-11-23T09:45:00.000Z,"43,583.95",,,
2023-11-23T09:46:00.000Z,"43,575.95",,,
2023-11-23T09:47:00.000Z,"43,572.35",,,
2023-11-23T09:48:00.000Z,"43,562.60",,,
2023-11-23T09:49:00.000Z,"43,565.95",,,
2023-11-23T09:50:00.000Z,"43,570.20",,,
2023-11-23T09:51:00.000Z,"43,567.20",,,
2023-11-23T09:52:00.000Z,"43,570.15",,,
2023-11-23T09:53:00.000Z,"43,574.30",,,
2023-11-23T09:54:00.000Z,"43,581.90",,,
2023-11-23T09:55:00.000Z,"43,590.05",,,
2023-11-23T09:56:00.000Z,"43,589.85",,,
2023-11-23T09:57:00.000Z,"43,597.15",,,
2023-11-23T09:58:00.000Z,"43,598.65",,,
2023-11-23T09:59:00.000Z,"43,597.65",,,
2023-11-24T03:45:00.000Z,"43,607.35",,,
2023-11-24T03:46:00.000Z,"43,629.30",,,
2023-11-24T03:47:00.000Z,"43,619.70",,,
2023-11-24T03:48:00.000Z,"43,615.00",,,
2023-11-24T03:49:00.000Z,"43,614.80",,,
2023-11-24T03:50:00.000Z,"43,608.35",,,
2023-11-24T03:51:00.000Z,"43,597.00",,,
2023-11-24T03:52:00.000Z,"43,605.60",,,
2023-11-24T03:53:00.000Z,"43,607.25",,,
2023-11-24T03:54:00.000Z,"43,619.15",,,
2023-11-24T03:55:00.000Z,"43,622.20",,,
2023-11-24T03:56:00.000Z,"43,625.80",,,
2023-11-24T03:57:00.000Z,"43,625.45",,,
2023-11-24T03:58:00.000Z,"43,637.20",,,
2023-11-24T03:59:00.000Z,"43,640.05",,,
2023-11-24T04:00:00.000Z,"43,638.70",,,
2023-11-24T04:01:00.000Z,"43,638.25",,,
2023-11-24T04:02:00.000Z,"43,630.95",,,
2023-11-24T04:03:00.000Z,"43,634.30",,,
2023-11-24T04:04:00.000Z,"43,634.90",,,
2023-11-24T04:05:00.000Z,"43,633.60",,,
2023-11-24T04:06:00.000Z,"43,622.10",,,
2023-11-24T04:07:00.000Z,"43,611.15",,,
2023-11-24T04:08:00.000Z,"43,604.35",,,
2023-11-24T04:09:00.000Z,"43,613.75",,,
2023-11-24T04:10:00.000Z,"43,614.55",,,
2023-11-24T04:11:00.000Z,"43,612.80",,,
2023-11-24T04:12:00.000Z,"43,617.45",,,
2023-11-24T04:13:00.000Z,"43,620.85",,,
2023-11-24T04:14:00.000Z,"43,622.35",,,
2023-11-24T04:15:00.000Z,"43,625.25",,,
2023-11-24T04:16:00.000Z,"43,620.35",,,
2023-11-24T04:17:00.000Z,"43,616.15",,,
2023-11-24T04:18:00.000Z,"43,616.05",,,
2023-11-24T04:19:00.000Z,"43,605.50",,,
2023-11-24T04:20:00.000Z,"43,588.80",,,
2023-11-24T04:21:00.000Z,"43,586.30",,,
2023-11-24T04:22:00.000Z,"43,588.80",,,
2023-11-24T04:23:00.000Z,"43,576.00",,,
2023-11-24T04:24:00.000Z,"43,572.55",,,
2023-11-24T04:25:00.000Z,"43,589.75",,,
2023-11-24T04:26:00.000Z,"43,599.95",,,
2023-11-24T04:27:00.000Z,"43,608.25",,,
2023-11-24T04:28:00.000Z,"43,603.80",,,
2023-11-24T04:29:00.000Z,"43,575.05",,,
2023-11-24T04:30:00.000Z,"43,574.00",,,
2023-11-24T04:31:00.000Z,"43,575.65",,,
2023-11-24T04:32:00.000Z,"43,590.85",,,
2023-11-24T04:33:00.000Z,"43,585.45",,,
2023-11-24T04:34:00.000Z,"43,594.85",,,
2023-11-24T04:35:00.000Z,"43,601.00",,,
2023-11-24T04:36:00.000Z,"43,581.85",,,
2023-11-24T04:37:00.000Z,"43,590.30",,,
2023-11-24T04:38:00.000Z,"43,588.50",,,
2023-11-24T04:39:00.000Z,"43,586.70",,,
2023-11-24T04:40:00.000Z,"43,589.80",,,
2023-11-24T04:41:00.000Z,"43,623.85",,,
2023-11-24T04:42:00.000Z,"43,614.50",,,
2023-11-24T04:43:00.000Z,"43,619.05",,,
2023-11-24T04:44:00.000Z,"43,619.35",,,
2023-11-24T04:45:00.000Z,"43,620.05",,,
2023-11-24T04:46:00.000Z,"43,619.15",,,
2023-11-24T04:47:00.000Z,"43,625.90",,,
2023-11-24T04:48:00.000Z,"43,620.35",,,
2023-11-24T04:49:00.000Z,"43,627.35",,,
2023-11-24T04:50:00.000Z,"43,621.60",,,
2023-11-24T04:51:00.000Z,"43,615.75",,,
2023-11-24T04:52:00.000Z,"43,615.50",,,
2023-11-24T04:53:00.000Z,"43,626.35",,,
2023-11-24T04:54:00.000Z,"43,617.90",,,
2023-11-24T04:55:00.000Z,"43,613.05",,,
2023-11-24T04:56:00.000Z,"43,612.00",,,
2023-11-24T04:57:00.000Z,"43,614.70",,,
2023-11-24T04:58:00.000Z,"43,621.35",,,
2023-11-24T04:59:00.000Z,"43,618.50",,,
2023-11-24T05:00:00.000Z,"43,613.15",,,
2023-11-24T05:01:00.000Z,"43,603.90",,,
2023-11-24T05:02:00.000Z,"43,611.00",,,
2023-11-24T05:03:00.000Z,"43,629.10",,,
2023-11-24T05:04:00.000Z,"43,634.55",,,
2023-11-24T05:05:00.000Z,"43,618.45",,,
2023-11-24T05:06:00.000Z,"43,625.95",,,
2023-11-24T05:07:00.000Z,"43,624.40",,,
2023-11-24T05:08:00.000Z,"43,623.10",,,
2023-11-24T05:09:00.000Z,"43,633.25",,,
2023-11-24T05:10:00.000Z,"43,636.00",,,
2023-11-24T05:11:00.000Z,"43,653.10",,,
2023-11-24T05:12:00.000Z,"43,695.45",,,
2023-11-24T05:13:00.000Z,"43,723.30",,,
2023-11-24T05:14:00.000Z,"43,726.40",,,
2023-11-24T05:15:00.000Z,"43,724.55",,,
2023-11-24T05:16:00.000Z,"43,717.25",,,
2023-11-24T05:17:00.000Z,"43,712.40",,,
2023-11-24T05:18:00.000Z,"43,702.05",,,
2023-11-24T05:19:00.000Z,"43,697.40",,,
